pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,794,5,embedded,153.6,1280,1264,True,1.0,0.7831,245.76,431.99,399.36,583.67
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,800,0,embedded,152.64,1272,1256,True,1.0,0.7493,40.68,187.8,193.32,338.52
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,806,0,embedded,152.64,1272,1256,True,1.0,0.7323,40.33,78.71,192.97,229.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,806,1,embedded,153.6,1280,1264,True,1.0,0.7964,240.0,247.67,393.6,399.35
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,818,0,embedded,152.64,1272,1256,True,1.0,0.8274,41.28,364.79,193.92,515.51
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,824,0,embedded,152.64,1272,1264,True,1.0,0.7488,41.28,223.67,193.92,375.35
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,829,0,embedded,152.64,1272,1264,True,1.0,0.796,39.37,395.51,192.01,547.19
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,841,0,embedded,152.64,1272,1256,True,1.0,0.7188,38.41,292.79,191.05,443.51
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,853,0,embedded,153.6,1280,1264,True,1.0,0.784,238.44,353.88,392.04,505.56
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,865,0,embedded,153.6,1280,1264,True,1.0,0.7292,239.4,128.28,393.0,279.96
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,871,0,embedded,153.6,1280,1256,True,1.0,0.7747,238.44,259.79,392.04,410.51
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,876,0,embedded,153.6,1280,1256,True,1.0,0.7897,240.97,405.11,394.57,555.83
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,882,0,embedded,152.64,1272,1264,True,1.0,0.8405,41.28,180.47,193.92,332.15
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,882,1,embedded,154.56,1288,1264,True,1.0,0.7933,240.97,430.07,395.53,581.75
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,894,0,embedded,153.6,1280,1264,True,1.0,0.743,240.0,141.11,393.6,292.79
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,900,0,embedded,152.64,1272,1264,True,1.0,0.721,41.28,341.75,193.92,493.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,900,1,embedded,154.56,1288,1264,True,1.0,0.7189,240.97,454.08,395.53,605.76
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,906,0,embedded,151.68,1264,1264,True,1.0,0.7347,41.28,140.15,192.96,291.83
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,906,1,embedded,152.64,1272,1256,True,1.0,0.7384,240.97,57.6,393.61,208.32
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,912,0,embedded,152.64,1272,1256,True,1.0,0.6805,40.33,161.28,192.97,312.0
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,912,1,embedded,153.6,1280,1256,True,1.0,0.727,240.97,346.55,394.57,497.27
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,918,0,embedded,152.64,1272,1264,True,1.0,0.7863,42.25,414.72,194.89,566.4
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,923,0,embedded,154.56,1288,1256,True,1.0,0.7796,240.0,355.2,394.56,505.92
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,929,0,embedded,153.6,1280,1256,True,1.0,0.6952,239.04,54.71,392.64,205.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,935,0,embedded,153.6,1280,1264,True,1.0,0.7729,239.4,181.07,393.0,332.75
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,941,0,embedded,153.6,1280,1256,True,1.0,0.7206,240.0,330.24,393.6,480.96
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,947,0,embedded,153.6,1280,1264,True,1.0,0.8391,40.33,192.96,193.93,344.64
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,953,0,embedded,153.6,1280,1264,True,1.0,0.8324,39.37,53.75,192.97,205.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,953,1,embedded,153.6,1280,1264,True,1.0,0.7716,240.0,227.51,393.6,379.19
